date,id
2019-05-25 00:00:00+00:00,6
2019-05-26 00:00:00+00:00,6
2019-05-27 00:00:00+00:00,4
2019-05-28 00:00:00+00:00,5
2019-05-29 00:00:00+00:00,7
2019-05-30 00:00:00+00:00,9
2020-04-01 00:00:00+00:00,2
2020-04-02 00:00:00+00:00,3
2020-04-03 00:00:00+00:00,5
2020-04-04 00:00:00+00:00,4
2020-04-05 00:00:00+00:00,5
2020-04-06 00:00:00+00:00,12
2020-04-07 00:00:00+00:00,3
2020-04-08 00:00:00+00:00,4
2020-04-09 00:00:00+00:00,2
2020-04-10 00:00:00+00:00,3
2020-04-11 00:00:00+00:00,6
2020-04-12 00:00:00+00:00,10
2020-04-13 00:00:00+00:00,5
2020-04-14 00:00:00+00:00,2
2020-04-15 00:00:00+00:00,7
2020-04-16 00:00:00+00:00,7
2020-04-17 00:00:00+00:00,4
2020-04-18 00:00:00+00:00,0
2020-04-19 00:00:00+00:00,4
2020-04-20 00:00:00+00:00,3
2020-04-21 00:00:00+00:00,10
2020-04-22 00:00:00+00:00,4
2020-04-23 00:00:00+00:00,5
2020-04-24 00:00:00+00:00,2
2020-04-25 00:00:00+00:00,9
2020-04-26 00:00:00+00:00,11
2020-04-27 00:00:00+00:00,6
2020-04-28 00:00:00+00:00,4
2020-04-29 00:00:00+00:00,2
2020-04-30 00:00:00+00:00,5
2020-05-01 00:00:00+00:00,9
2020-05-02 00:00:00+00:00,17
2020-05-03 00:00:00+00:00,18
2020-05-04 00:00:00+00:00,30
2020-05-05 00:00:00+00:00,33
2020-05-06 00:00:00+00:00,30
2020-05-07 00:00:00+00:00,16
2020-05-08 00:00:00+00:00,22
2020-05-09 00:00:00+00:00,26
2020-05-10 00:00:00+00:00,15
2020-05-11 00:00:00+00:00,8
2020-05-12 00:00:00+00:00,6
2020-05-13 00:00:00+00:00,5
2020-05-14 00:00:00+00:00,7
2020-05-15 00:00:00+00:00,6
2020-05-16 00:00:00+00:00,2
2020-05-17 00:00:00+00:00,2
2020-05-18 00:00:00+00:00,14
2020-05-19 00:00:00+00:00,9
2020-05-20 00:00:00+00:00,11
2020-05-21 00:00:00+00:00,14
2020-05-22 00:00:00+00:00,19
2020-05-23 00:00:00+00:00,15
2020-05-24 00:00:00+00:00,21
2020-05-25 00:00:00+00:00,63
2020-05-26 00:00:00+00:00,141
2020-05-27 00:00:00+00:00,133
2020-05-28 00:00:00+00:00,157
2020-05-29 00:00:00+00:00,165
2020-05-30 00:00:00+00:00,109
